indicator_name,count,mean,std,min,25%,50%,75%,max
GDP growth (annual %),5141.0,3.359558808270214,5.976554214974853,-54.3361062745857,1.21302407657195,3.5082827896139,5.82112109969025,91.1370388737081
"Population, total",5425.0,32941398.832258064,130594720.63735907,9544.0,728147.0,5773493.0,21068405.0,1450935791.0
"School enrollment, primary (% gross)",4092.0,101.75220594218871,13.822778099708337,20.9155502319336,97.0014948274737,101.548641204834,107.93055534362774,183.989440244666
Poverty headcount ratio ($2.15 a day) (% of population),1834.0,9.410087241003271,17.12624003874537,0.0,0.2,1.4,9.4,94.9
Individuals using the Internet (% of population),4754.0,39.303794063452045,32.05848358097087,0.0,7.6132175,33.73625,69.0,100.0
"Unemployment, total (% of labor force)",4666.0,8.019864337762538,6.021131650037182,0.1,3.711,6.1095,10.84975,37.32
